Disease Name,ORPHAcode,Gene,Pathway,Pathway Coverage,Mechanism,Symptoms,Drug Name,SMILES,Target Protein,Mechanism of Action,Binding Affinity,Toxicity Score,Compatibility Score,Match Explanation,Improvement Suggestions
Spinal Muscular Atrophy,52,SMN1,RNA splicing,High,SMN deficiency,Muscle wasting,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-6.08,0.38,63,Limited binding efficiency,Reduce toxicity and improve affinity
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,High,Dystrophin mutation,Muscle weakness,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-8.65,0.29,70,Limited binding efficiency,Reduce toxicity and improve affinity
Phenylketonuria,716,PAH,Amino acid metabolism,Medium,PAH deficiency,Seizures,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-9.86,0.14,84,Moderate pathway match,Reduce toxicity and improve affinity
Retinitis Pigmentosa,791,RHO,Phototransduction,Low,Rod cell degeneration,Vision loss,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-6.04,0.31,74,Limited binding efficiency,Reduce toxicity and improve affinity
Gaucher Disease,355,GBA,Lysosomal function,Low,Enzyme deficiency,Bone pain,Nusinersen,N/A,SMN2,Splicing modifier,-6.89,0.25,64,Limited binding efficiency,Reduce toxicity and improve affinity
Spinal Muscular Atrophy,52,SMN1,RNA splicing,Low,SMN deficiency,Muscle wasting,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-8.7,0.29,76,Moderate pathway match,Reduce toxicity and improve affinity
Spinal Muscular Atrophy,52,SMN1,RNA splicing,Medium,SMN deficiency,Muscle wasting,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-9.91,0.37,70,Limited binding efficiency,Reduce toxicity and improve affinity
Cystic Fibrosis,586,CFTR,Ion transport,High,CFTR mutation,Lung infections,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-6.6,0.22,89,Moderate pathway match,Minimal modification needed
Retinitis Pigmentosa,791,RHO,Phototransduction,High,Rod cell degeneration,Vision loss,Nusinersen,N/A,SMN2,Splicing modifier,-6.11,0.16,92,Excellent binding and low toxicity,Minimal modification needed
Spinal Muscular Atrophy,52,SMN1,RNA splicing,High,SMN deficiency,Muscle wasting,Nusinersen,N/A,SMN2,Splicing modifier,-8.04,0.34,90,Excellent binding and low toxicity,Enhance specificity to target
Retinitis Pigmentosa,791,RHO,Phototransduction,High,Rod cell degeneration,Vision loss,Nusinersen,N/A,SMN2,Splicing modifier,-6.3,0.16,61,Limited binding efficiency,Reduce toxicity and improve affinity
Cystic Fibrosis,586,CFTR,Ion transport,High,CFTR mutation,Lung infections,Nusinersen,N/A,SMN2,Splicing modifier,-9.46,0.25,90,Excellent binding and low toxicity,Minimal modification needed
Phenylketonuria,716,PAH,Amino acid metabolism,Low,PAH deficiency,Seizures,Nusinersen,N/A,SMN2,Splicing modifier,-6.82,0.34,74,Limited binding efficiency,Reduce toxicity and improve affinity
Spinal Muscular Atrophy,52,SMN1,RNA splicing,Low,SMN deficiency,Muscle wasting,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-6.18,0.41,73,Limited binding efficiency,Reduce toxicity and improve affinity
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,High,Dystrophin mutation,Muscle weakness,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-6.55,0.47,77,Moderate pathway match,Reduce toxicity and improve affinity
Spinal Muscular Atrophy,52,SMN1,RNA splicing,High,SMN deficiency,Muscle wasting,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-8.33,0.4,61,Limited binding efficiency,Reduce toxicity and improve affinity
Gaucher Disease,355,GBA,Lysosomal function,Low,Enzyme deficiency,Bone pain,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-7.55,0.39,62,Limited binding efficiency,Reduce toxicity and improve affinity
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,Medium,Dystrophin mutation,Muscle weakness,Nusinersen,N/A,SMN2,Splicing modifier,-8.5,0.34,80,Moderate pathway match,Reduce toxicity and improve affinity
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,High,Dystrophin mutation,Muscle weakness,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-6.72,0.1,80,Moderate pathway match,Reduce toxicity and improve affinity
Retinitis Pigmentosa,791,RHO,Phototransduction,Low,Rod cell degeneration,Vision loss,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-9.75,0.44,91,Excellent binding and low toxicity,Enhance specificity to target
Phenylketonuria,716,PAH,Amino acid metabolism,High,PAH deficiency,Seizures,Nusinersen,N/A,SMN2,Splicing modifier,-8.36,0.39,82,Moderate pathway match,Reduce toxicity and improve affinity
Retinitis Pigmentosa,791,RHO,Phototransduction,High,Rod cell degeneration,Vision loss,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-7.26,0.23,66,Limited binding efficiency,Reduce toxicity and improve affinity
Spinal Muscular Atrophy,52,SMN1,RNA splicing,High,SMN deficiency,Muscle wasting,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-9.98,0.25,84,Moderate pathway match,Reduce toxicity and improve affinity
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,Low,Dystrophin mutation,Muscle weakness,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-8.71,0.1,94,Excellent binding and low toxicity,Minimal modification needed
Retinitis Pigmentosa,791,RHO,Phototransduction,Low,Rod cell degeneration,Vision loss,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-9.07,0.45,63,Limited binding efficiency,Reduce toxicity and improve affinity
Spinal Muscular Atrophy,52,SMN1,RNA splicing,Low,SMN deficiency,Muscle wasting,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-9.65,0.22,60,Limited binding efficiency,Reduce toxicity and improve affinity
Cystic Fibrosis,586,CFTR,Ion transport,Medium,CFTR mutation,Lung infections,Nusinersen,N/A,SMN2,Splicing modifier,-6.06,0.19,63,Limited binding efficiency,Reduce toxicity and improve affinity
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,Medium,Dystrophin mutation,Muscle weakness,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-8.03,0.33,65,Limited binding efficiency,Reduce toxicity and improve affinity
Phenylketonuria,716,PAH,Amino acid metabolism,Low,PAH deficiency,Seizures,Nusinersen,N/A,SMN2,Splicing modifier,-6.17,0.14,68,Limited binding efficiency,Reduce toxicity and improve affinity
Gaucher Disease,355,GBA,Lysosomal function,Medium,Enzyme deficiency,Bone pain,Nusinersen,N/A,SMN2,Splicing modifier,-6.03,0.26,65,Limited binding efficiency,Reduce toxicity and improve affinity
Cystic Fibrosis,586,CFTR,Ion transport,Low,CFTR mutation,Lung infections,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-8.51,0.26,62,Limited binding efficiency,Reduce toxicity and improve affinity
Cystic Fibrosis,586,CFTR,Ion transport,High,CFTR mutation,Lung infections,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-8.36,0.15,74,Limited binding efficiency,Reduce toxicity and improve affinity
Retinitis Pigmentosa,791,RHO,Phototransduction,Medium,Rod cell degeneration,Vision loss,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-6.16,0.28,93,Excellent binding and low toxicity,Minimal modification needed
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,Medium,Dystrophin mutation,Muscle weakness,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-7.16,0.21,63,Limited binding efficiency,Reduce toxicity and improve affinity
Cystic Fibrosis,586,CFTR,Ion transport,High,CFTR mutation,Lung infections,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-6.08,0.46,88,Moderate pathway match,Enhance specificity to target
Gaucher Disease,355,GBA,Lysosomal function,Medium,Enzyme deficiency,Bone pain,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-8.55,0.11,64,Limited binding efficiency,Reduce toxicity and improve affinity
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,Medium,Dystrophin mutation,Muscle weakness,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-9.58,0.23,91,Excellent binding and low toxicity,Minimal modification needed
Phenylketonuria,716,PAH,Amino acid metabolism,Low,PAH deficiency,Seizures,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-8.05,0.11,88,Moderate pathway match,Minimal modification needed
Spinal Muscular Atrophy,52,SMN1,RNA splicing,Medium,SMN deficiency,Muscle wasting,Nusinersen,N/A,SMN2,Splicing modifier,-8.2,0.15,70,Limited binding efficiency,Reduce toxicity and improve affinity
Phenylketonuria,716,PAH,Amino acid metabolism,Medium,PAH deficiency,Seizures,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-9.55,0.33,65,Limited binding efficiency,Reduce toxicity and improve affinity
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,Low,Dystrophin mutation,Muscle weakness,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-7.15,0.2,66,Limited binding efficiency,Reduce toxicity and improve affinity
Gaucher Disease,355,GBA,Lysosomal function,High,Enzyme deficiency,Bone pain,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-7.32,0.41,60,Limited binding efficiency,Reduce toxicity and improve affinity
Cystic Fibrosis,586,CFTR,Ion transport,High,CFTR mutation,Lung infections,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-6.01,0.39,88,Moderate pathway match,Enhance specificity to target
Retinitis Pigmentosa,791,RHO,Phototransduction,High,Rod cell degeneration,Vision loss,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-9.25,0.24,88,Moderate pathway match,Minimal modification needed
Phenylketonuria,716,PAH,Amino acid metabolism,Medium,PAH deficiency,Seizures,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-8.93,0.32,73,Limited binding efficiency,Reduce toxicity and improve affinity
Cystic Fibrosis,586,CFTR,Ion transport,Medium,CFTR mutation,Lung infections,Nusinersen,N/A,SMN2,Splicing modifier,-9.16,0.19,72,Limited binding efficiency,Reduce toxicity and improve affinity
Gaucher Disease,355,GBA,Lysosomal function,High,Enzyme deficiency,Bone pain,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-8.14,0.11,70,Limited binding efficiency,Reduce toxicity and improve affinity
Gaucher Disease,355,GBA,Lysosomal function,Low,Enzyme deficiency,Bone pain,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-7.4,0.13,83,Moderate pathway match,Reduce toxicity and improve affinity
Gaucher Disease,355,GBA,Lysosomal function,Medium,Enzyme deficiency,Bone pain,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-8.3,0.45,68,Limited binding efficiency,Reduce toxicity and improve affinity
Retinitis Pigmentosa,791,RHO,Phototransduction,High,Rod cell degeneration,Vision loss,Nusinersen,N/A,SMN2,Splicing modifier,-8.54,0.1,66,Limited binding efficiency,Reduce toxicity and improve affinity
Spinal Muscular Atrophy,52,SMN1,RNA splicing,High,SMN deficiency,Muscle wasting,Nusinersen,N/A,SMN2,Splicing modifier,-6.32,0.16,94,Excellent binding and low toxicity,Minimal modification needed
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,Medium,Dystrophin mutation,Muscle weakness,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-6.53,0.42,63,Limited binding efficiency,Reduce toxicity and improve affinity
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,High,Dystrophin mutation,Muscle weakness,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-6.72,0.5,73,Limited binding efficiency,Reduce toxicity and improve affinity
Gaucher Disease,355,GBA,Lysosomal function,Medium,Enzyme deficiency,Bone pain,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-7.66,0.36,80,Moderate pathway match,Reduce toxicity and improve affinity
Phenylketonuria,716,PAH,Amino acid metabolism,Medium,PAH deficiency,Seizures,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-7.6,0.16,65,Limited binding efficiency,Reduce toxicity and improve affinity
Spinal Muscular Atrophy,52,SMN1,RNA splicing,Low,SMN deficiency,Muscle wasting,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-9.05,0.46,94,Excellent binding and low toxicity,Enhance specificity to target
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,Low,Dystrophin mutation,Muscle weakness,Nusinersen,N/A,SMN2,Splicing modifier,-6.05,0.29,79,Moderate pathway match,Reduce toxicity and improve affinity
Gaucher Disease,355,GBA,Lysosomal function,Medium,Enzyme deficiency,Bone pain,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-7.89,0.21,71,Limited binding efficiency,Reduce toxicity and improve affinity
Phenylketonuria,716,PAH,Amino acid metabolism,Medium,PAH deficiency,Seizures,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-6.63,0.39,93,Excellent binding and low toxicity,Enhance specificity to target
Cystic Fibrosis,586,CFTR,Ion transport,High,CFTR mutation,Lung infections,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-7.46,0.4,82,Moderate pathway match,Reduce toxicity and improve affinity
Gaucher Disease,355,GBA,Lysosomal function,High,Enzyme deficiency,Bone pain,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-7.8,0.28,65,Limited binding efficiency,Reduce toxicity and improve affinity
Spinal Muscular Atrophy,52,SMN1,RNA splicing,Low,SMN deficiency,Muscle wasting,Nusinersen,N/A,SMN2,Splicing modifier,-7.71,0.23,73,Limited binding efficiency,Reduce toxicity and improve affinity
Gaucher Disease,355,GBA,Lysosomal function,High,Enzyme deficiency,Bone pain,Nusinersen,N/A,SMN2,Splicing modifier,-9.39,0.43,92,Excellent binding and low toxicity,Enhance specificity to target
Phenylketonuria,716,PAH,Amino acid metabolism,High,PAH deficiency,Seizures,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-8.23,0.49,84,Moderate pathway match,Reduce toxicity and improve affinity
Spinal Muscular Atrophy,52,SMN1,RNA splicing,High,SMN deficiency,Muscle wasting,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-6.21,0.11,92,Excellent binding and low toxicity,Minimal modification needed
Gaucher Disease,355,GBA,Lysosomal function,High,Enzyme deficiency,Bone pain,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-7.46,0.46,76,Moderate pathway match,Reduce toxicity and improve affinity
Cystic Fibrosis,586,CFTR,Ion transport,Low,CFTR mutation,Lung infections,Nusinersen,N/A,SMN2,Splicing modifier,-8.2,0.38,71,Limited binding efficiency,Reduce toxicity and improve affinity
Retinitis Pigmentosa,791,RHO,Phototransduction,Medium,Rod cell degeneration,Vision loss,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-9.65,0.1,86,Moderate pathway match,Minimal modification needed
Phenylketonuria,716,PAH,Amino acid metabolism,Medium,PAH deficiency,Seizures,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-6.68,0.33,75,Moderate pathway match,Reduce toxicity and improve affinity
Retinitis Pigmentosa,791,RHO,Phototransduction,High,Rod cell degeneration,Vision loss,Nusinersen,N/A,SMN2,Splicing modifier,-7.82,0.44,62,Limited binding efficiency,Reduce toxicity and improve affinity
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,Medium,Dystrophin mutation,Muscle weakness,Nusinersen,N/A,SMN2,Splicing modifier,-9.36,0.46,78,Moderate pathway match,Reduce toxicity and improve affinity
Retinitis Pigmentosa,791,RHO,Phototransduction,Medium,Rod cell degeneration,Vision loss,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-8.88,0.36,75,Moderate pathway match,Reduce toxicity and improve affinity
Cystic Fibrosis,586,CFTR,Ion transport,Medium,CFTR mutation,Lung infections,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-8.96,0.35,63,Limited binding efficiency,Reduce toxicity and improve affinity
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,High,Dystrophin mutation,Muscle weakness,Nusinersen,N/A,SMN2,Splicing modifier,-9.25,0.41,80,Moderate pathway match,Reduce toxicity and improve affinity
Gaucher Disease,355,GBA,Lysosomal function,Low,Enzyme deficiency,Bone pain,Nusinersen,N/A,SMN2,Splicing modifier,-9.26,0.46,65,Limited binding efficiency,Reduce toxicity and improve affinity
Cystic Fibrosis,586,CFTR,Ion transport,High,CFTR mutation,Lung infections,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-7.89,0.27,77,Moderate pathway match,Reduce toxicity and improve affinity
Cystic Fibrosis,586,CFTR,Ion transport,High,CFTR mutation,Lung infections,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-8.12,0.48,94,Excellent binding and low toxicity,Enhance specificity to target
Retinitis Pigmentosa,791,RHO,Phototransduction,Low,Rod cell degeneration,Vision loss,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-8.79,0.37,91,Excellent binding and low toxicity,Enhance specificity to target
Spinal Muscular Atrophy,52,SMN1,RNA splicing,High,SMN deficiency,Muscle wasting,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-8.83,0.49,83,Moderate pathway match,Reduce toxicity and improve affinity
Retinitis Pigmentosa,791,RHO,Phototransduction,Low,Rod cell degeneration,Vision loss,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-7.59,0.22,92,Excellent binding and low toxicity,Minimal modification needed
Retinitis Pigmentosa,791,RHO,Phototransduction,High,Rod cell degeneration,Vision loss,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-7.92,0.48,67,Limited binding efficiency,Reduce toxicity and improve affinity
Phenylketonuria,716,PAH,Amino acid metabolism,Low,PAH deficiency,Seizures,Nusinersen,N/A,SMN2,Splicing modifier,-7.79,0.22,88,Moderate pathway match,Minimal modification needed
Cystic Fibrosis,586,CFTR,Ion transport,Medium,CFTR mutation,Lung infections,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-7.68,0.31,88,Moderate pathway match,Enhance specificity to target
Gaucher Disease,355,GBA,Lysosomal function,Low,Enzyme deficiency,Bone pain,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-7.36,0.3,70,Limited binding efficiency,Reduce toxicity and improve affinity
Retinitis Pigmentosa,791,RHO,Phototransduction,Medium,Rod cell degeneration,Vision loss,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-8.44,0.46,91,Excellent binding and low toxicity,Enhance specificity to target
Cystic Fibrosis,586,CFTR,Ion transport,Low,CFTR mutation,Lung infections,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-9.35,0.36,62,Limited binding efficiency,Reduce toxicity and improve affinity
Cystic Fibrosis,586,CFTR,Ion transport,Medium,CFTR mutation,Lung infections,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-7.74,0.42,92,Excellent binding and low toxicity,Enhance specificity to target
Gaucher Disease,355,GBA,Lysosomal function,Medium,Enzyme deficiency,Bone pain,Nusinersen,N/A,SMN2,Splicing modifier,-8.52,0.34,69,Limited binding efficiency,Reduce toxicity and improve affinity
Spinal Muscular Atrophy,52,SMN1,RNA splicing,Medium,SMN deficiency,Muscle wasting,Nusinersen,N/A,SMN2,Splicing modifier,-6.06,0.46,84,Moderate pathway match,Reduce toxicity and improve affinity
Cystic Fibrosis,586,CFTR,Ion transport,High,CFTR mutation,Lung infections,Nusinersen,N/A,SMN2,Splicing modifier,-6.35,0.42,84,Moderate pathway match,Reduce toxicity and improve affinity
